#name                                                  type        variation
# Jet: 17
JET_EtaIntercalibration_NonClosure_highE               p4          two           
JET_EtaIntercalibration_NonClosure_negEta              p4          two           
JET_EtaIntercalibration_NonClosure_posEta              p4          two               
JET_EtaIntercalibration_NonClosure_2018data            p4          two           
JET_Flavor_Response                                    p4          two                   
JET_GroupedNP_1                                        p4          two                       
JET_GroupedNP_2                                        p4          two                   
JET_GroupedNP_3                                        p4          two               
JET_TILECORR_Uncertainty                               p4          two                       
JET_JER_EffectiveNP_1_1up                              p4          one                   
JET_JER_EffectiveNP_2_1up                              p4          one                   
JET_JER_EffectiveNP_3_1up                              p4          one                       
JET_JER_EffectiveNP_4_1up                              p4          one                   
JET_JER_EffectiveNP_5_1up                              p4          one                   
JET_JER_EffectiveNP_6_1up                              p4          one                               
JET_JER_EffectiveNP_7restTerm_1up                      p4          one                          

# MET: 3
MET_SoftTrk_ResoPara                                   p4          one
MET_SoftTrk_ResoPerp                                   p4          one
MET_SoftTrk_Scale                                      p4          two
