SampleID, process, xsectioninpb, filtereff, kfactor, uncertup, uncertdown, generator, etag
304014, Default, 1, 1, 1, 0, 0, Default, Default
341471, Default, 1, 1, 1, 0, 0, Default, Default
341488, Default, 1, 1, 1, 0, 0, Default, Default
342284, Default, 1, 1, 1, 0, 0, Default, Default
342285, Default, 1, 1, 1, 0, 0, Default, Default
346343, Default, 1, 1, 1, 0, 0, Default, Default
346344, Default, 1, 1, 1, 0, 0, Default, Default
346345, Default, 1, 1, 1, 0, 0, Default, Default
361601, Default, 1, 1, 1, 0, 0, Default, Default
363355, Default, 1, 1, 1, 0, 0, Default, Default
363356, Default, 1, 1, 1, 0, 0, Default, Default
363357, Default, 1, 1, 1, 0, 0, Default, Default
363358, Default, 1, 1, 1, 0, 0, Default, Default
363359, Default, 1, 1, 1, 0, 0, Default, Default
363360, Default, 1, 1, 1, 0, 0, Default, Default
363489, Default, 1, 1, 1, 0, 0, Default, Default
364100, Default, 1, 1, 1, 0, 0, Default, Default
364101, Default, 1, 1, 1, 0, 0, Default, Default
364102, Default, 1, 1, 1, 0, 0, Default, Default
364103, Default, 1, 1, 1, 0, 0, Default, Default
364104, Default, 1, 1, 1, 0, 0, Default, Default
364105, Default, 1, 1, 1, 0, 0, Default, Default
364106, Default, 1, 1, 1, 0, 0, Default, Default
364107, Default, 1, 1, 1, 0, 0, Default, Default
364108, Default, 1, 1, 1, 0, 0, Default, Default
364109, Default, 1, 1, 1, 0, 0, Default, Default
364110, Default, 1, 1, 1, 0, 0, Default, Default
364111, Default, 1, 1, 1, 0, 0, Default, Default
364112, Default, 1, 1, 1, 0, 0, Default, Default
364113, Default, 1, 1, 1, 0, 0, Default, Default
364114, Default, 1, 1, 1, 0, 0, Default, Default
364115, Default, 1, 1, 1, 0, 0, Default, Default
364116, Default, 1, 1, 1, 0, 0, Default, Default
364117, Default, 1, 1, 1, 0, 0, Default, Default
364118, Default, 1, 1, 1, 0, 0, Default, Default
364119, Default, 1, 1, 1, 0, 0, Default, Default
364120, Default, 1, 1, 1, 0, 0, Default, Default
364121, Default, 1, 1, 1, 0, 0, Default, Default
364122, Default, 1, 1, 1, 0, 0, Default, Default
364123, Default, 1, 1, 1, 0, 0, Default, Default
364124, Default, 1, 1, 1, 0, 0, Default, Default
364125, Default, 1, 1, 1, 0, 0, Default, Default
364126, Default, 1, 1, 1, 0, 0, Default, Default
364127, Default, 1, 1, 1, 0, 0, Default, Default
364128, Default, 1, 1, 1, 0, 0, Default, Default
364129, Default, 1, 1, 1, 0, 0, Default, Default
364130, Default, 1, 1, 1, 0, 0, Default, Default
364131, Default, 1, 1, 1, 0, 0, Default, Default
364132, Default, 1, 1, 1, 0, 0, Default, Default
364133, Default, 1, 1, 1, 0, 0, Default, Default
364134, Default, 1, 1, 1, 0, 0, Default, Default
364135, Default, 1, 1, 1, 0, 0, Default, Default
364136, Default, 1, 1, 1, 0, 0, Default, Default
364137, Default, 1, 1, 1, 0, 0, Default, Default
364138, Default, 1, 1, 1, 0, 0, Default, Default
364139, Default, 1, 1, 1, 0, 0, Default, Default
364140, Default, 1, 1, 1, 0, 0, Default, Default
364141, Default, 1, 1, 1, 0, 0, Default, Default
364156, Default, 1, 1, 1, 0, 0, Default, Default
364157, Default, 1, 1, 1, 0, 0, Default, Default
364158, Default, 1, 1, 1, 0, 0, Default, Default
364159, Default, 1, 1, 1, 0, 0, Default, Default
364160, Default, 1, 1, 1, 0, 0, Default, Default
364161, Default, 1, 1, 1, 0, 0, Default, Default
364162, Default, 1, 1, 1, 0, 0, Default, Default
364163, Default, 1, 1, 1, 0, 0, Default, Default
364164, Default, 1, 1, 1, 0, 0, Default, Default
364165, Default, 1, 1, 1, 0, 0, Default, Default
364166, Default, 1, 1, 1, 0, 0, Default, Default
364167, Default, 1, 1, 1, 0, 0, Default, Default
364168, Default, 1, 1, 1, 0, 0, Default, Default
364169, Default, 1, 1, 1, 0, 0, Default, Default
364170, Default, 1, 1, 1, 0, 0, Default, Default
364171, Default, 1, 1, 1, 0, 0, Default, Default
364172, Default, 1, 1, 1, 0, 0, Default, Default
364173, Default, 1, 1, 1, 0, 0, Default, Default
364174, Default, 1, 1, 1, 0, 0, Default, Default
364175, Default, 1, 1, 1, 0, 0, Default, Default
364176, Default, 1, 1, 1, 0, 0, Default, Default
364177, Default, 1, 1, 1, 0, 0, Default, Default
364178, Default, 1, 1, 1, 0, 0, Default, Default
364179, Default, 1, 1, 1, 0, 0, Default, Default
364180, Default, 1, 1, 1, 0, 0, Default, Default
364181, Default, 1, 1, 1, 0, 0, Default, Default
364182, Default, 1, 1, 1, 0, 0, Default, Default
364183, Default, 1, 1, 1, 0, 0, Default, Default
364184, Default, 1, 1, 1, 0, 0, Default, Default
