SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation

110070,.043755,1.0,1.0,--,125,1,Powheg+Pythia+Photos+Tauola,DC14 st tchan t,Full
110071,.025778,1.0,1.0,--,125,1,Powheg+Pythia+Photos+Tauola,DC14 st tchan tbar,Full
110302,.0033514,1.0,1.0,--,125,1,Powheg+Pythia+Photos+Tauola,DC14 st schan,Full
110305,.068459,1.0,1.0,--,125,1,Powheg+Pythia+Photos+Tauola,DC14 st Wt,Full
110401,.69584,1.0,5.4316E-01,--,125,1,Powheg+Pythia+Photos+Tauola,DC14 ttbar nonallhad,Full
167740,18.795,1.0,1.7789E-02,--,125,1,Sherpa,DC14 W,Full
167741,18.804,1.0,6.2919E-02,--,125,1,Sherpa,DC14 W,Full
167742,18.843,1.0,9.1930E-01,--,125,1,Sherpa,DC14 W,Full
167743,18.793,1.0,1.7793E-02,--,125,1,Sherpa,DC14 W,Full
167744,18.788,1.0,5.5829E-02,--,125,1,Sherpa,DC14 W,Full
167745,18.797,1.0,9.2648E-01,--,125,1,Sherpa,DC14 W,Full
167746,18.795,1.0,1.7808E-02,--,125,1,Sherpa,DC14 W,Full
167747,18.808,1.0,5.9685E-02,--,125,1,Sherpa,DC14 W,Full
167748,18.8,1.0,9.2253E-01,--,125,1,Sherpa,DC14 W,Full
167749,1.9289,1.0,3.8075E-02,--,125,1,Sherpa,DC14 Z,Full
167750,1.9268,1.0,3.2828E-01,--,125,1,Sherpa,DC14 Z,Full
167751,1.9388,1.0,6.3574E-01,--,125,1,Sherpa,DC14 Z,Full
167752,1.9299,1.0,3.8283E-02,--,125,1,Sherpa,DC14 Z,Full
167753,1.927,1.0,3.2647E-01,--,125,1,Sherpa,DC14 Z,Full
167754,1.9364,1.0,6.3575E-01,--,125,1,Sherpa,DC14 Z,Full
167755,1.9297,1.0,3.8191E-02,--,125,1,Sherpa,DC14 Z,Full
167756,1.9284,1.0,3.2657E-01,--,125,1,Sherpa,DC14 Z,Full
167757,1.9255,1.0,6.3354E-01,--,125,1,Sherpa,DC14 Z,Full
187150,.0011792,1.0,1.0,--,125,1,Powheg+Pythia8+Photospp,DC14 qqWW,Full
187151,.001179,1.0,1.0,--,125,1,Powheg+Pythia8+Photospp,DC14 qqWW,Full
187152,.001179,1.0,1.0,--,125,1,Powheg+Pythia8+Photospp,DC14 qqWW,Full
