SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation

161005,.0009961,1.0,4.9362E-01,--,125,1,Powheg+Pythia8+Photospp,DC14 ggF WW lvlv,Full
161055,.0000850,1.0,5.0929E-01,--,125,1,Powheg+Pythia8+Photospp,DC14 VBF WW lvlv,Full
161105,.001380,1.0,0.022575,--,125,1,Pythia8+Photospp,DC14 WH WW lvlv,Full
161155,.0008696,1.0,0.022575,--,125,1,Pythia8+Photospp,DC14 ZH lvlv,Full
206587,.0068305,1.0,5.7825E-01,--,300,2,Powheg+Pythia8+Photospp,DC14,Full
206588,.0011987,1.0,5.8795E-01,--,300,2,Powheg+Pythia8+Photospp,DC14,Full
167923,.001376,1.0,6.0434E-01,--,600,2,Powheg+Pythia8+Photospp,DC14,Full
169123,.0003214,1.0,6.0595E-01,--,600,2,Powheg+Pythia8+Photospp,DC14,Full
206595,.000088361,1.0,6.1657E-01,--,1000,2,Powheg+Pythia8+Photospp,DC14,Full
206596,.000073706,1.0,6.1459E-01,--,1000,2,Powheg+Pythia8+Photospp,DC14,Full
206599,.000000023098,1.0,6.3148E-01,--,3000,2,Powheg+Pythia8+Photospp,DC14,Full
206600,.00000050732,1.0,6.2063E-01,--,3000,2,Powheg+Pythia8+Photospp,DC14,Full
