SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
105921,0.631,1.0,1.0,--,-999,2,MC@NLO,qq->WpWm->eenunu,Full
105922,0.631,1.0,1.0,--,-999,2,MC@NLO,qq->WpWm->emununu,Full
105923,0.631,1.0,1.0,--,-999,2,MC@NLO,qq->WpWm->etaununu,Full
105924,0.631,1.0,1.0,--,-999,2,MC@NLO,qq->WpWm->muenunu,Full
105925,0.631,1.0,1.0,--,-999,2,MC@NLO,qq->WpWm->mumununu,Full
105926,0.631,1.0,1.0,--,-999,2,MC@NLO,qq->WpWm->mutaununu,Full
105927,0.631,1.0,1.0,--,-999,2,MC@NLO,qq->WpWm->tauenunu,Full
105928,0.631,1.0,1.0,--,-999,2,MC@NLO,qq->WpWm->taumununu,Full
105929,0.631,1.0,1.0,--,-999,2,MC@NLO,qq->WpWm->tautaununu,Full
169471,0.0236,1.0,1.0,--,-999,1,gg2WW3.1.2,gg->WpWm->eenunu,Full
169472,0.0208,1.0,1.0,--,-999,1,gg2WW3.1.2,gg->WpWm->emununu,Full
169473,0.0208,1.0,1.0,--,-999,1,gg2WW3.1.2,gg->WpWm->etaununu,Full
169474,0.0236,1.0,1.0,--,-999,1,gg2WW3.1.2,gg->WpWm->mumununu,Full
169475,0.0208,1.0,1.0,--,-999,1,gg2WW3.1.2,gg->WpWm->muenunu,Full
169476,0.0208,1.0,1.0,--,-999,1,gg2WW3.1.2,gg->WpWm->mutaununu,Full
169477,0.0236,1.0,1.0,--,-999,1,gg2WW3.1.2,gg->WpWm->tautaununu,Full
169478,0.0208,1.0,1.0,--,-999,1,gg2WW3.1.2,gg->WpWm->tauenunu,Full
169479,0.0208,1.0,1.0,--,-999,1,gg2WW3.1.2,gg->WpWm->taumununu,Full
169441,0.0497,1.0,1.0,--,-999,2,gg2WW3.1.2,gg->H->WpWm->SF,Full
169440,0.0991,1.0,1.0,--,-999,2,gg2WW3.1.2,gg->H->WpWm->DF,Full
