SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
"161340","0.007872","1.0","0.37854","--","90","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","AFII"
"161341","0.016025","1.0","0.37499","--","95","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","AFII"
"161000","0.033961","1.0","0.39143","--","100","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161001","0.068049","1.0","0.41586","--","105","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161002","0.123682","1.0","0.43865","--","110","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161003","0.204573","1.0","0.45934","--","115","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161004","0.308762","1.0","0.47659","--","120","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"167262","0.406767","1.0","0.48775","--","124","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161005","0.434921","1.0","0.49105","--","125","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"167265","0.460012","1.0","0.49359","--","126","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161006","0.567768","1.0","0.50312","--","130","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161007","0.695781","1.0","0.51327","--","135","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161008","0.810984","1.0","0.52203","--","140","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161009","0.910772","1.0","0.52893","--","145","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161010","0.990008","1.0","0.53674","--","150","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161011","1.06189","1.0","0.54168","--","155","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161012","1.14001","1.0","0.54911","--","160","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161013","1.10552","1.0","0.55383","--","165","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161014","1.02917","1.0","0.55652","--","170","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161015","0.958001","1.0","0.55815","--","175","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161016","0.878582","1.0","0.55733","--","180","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161017","0.742732","1.0","0.5597","--","185","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161018","0.648373","1.0","0.56359","--","190","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161019","0.588452","1.0","0.56222","--","195","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161020","0.550811","1.0","0.56381","--","200","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF","Full"
"161021","0.449942","1.0","0.56742","--","220","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161022","0.381266","1.0","0.57242","--","240","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161023","0.32734","1.0","0.57625","--","260","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161024","0.288185","1.0","0.57878","--","280","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161025","0.26108","1.0","0.5807","--","300","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161026","0.244687","1.0","0.58419","--","320","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161027","0.242246","1.0","0.58445","--","340","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161028","0.231329","1.0","0.58682","--","360","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161029","0.206559","1.0","0.58894","--","380","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161030","0.178462","1.0","0.59013","--","400","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161031","0.151244","1.0","0.59188","--","420","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161032","0.126894","1.0","0.59381","--","440","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161033","0.10587","1.0","0.59336","--","460","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161034","0.0881534","1.0","0.59452","--","480","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161035","0.0735376","1.0","0.59564","--","500","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161036","0.061384","1.0","0.59763","--","520","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161037","0.0513672","1.0","0.59841","--","540","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161038","0.043124","1.0","0.59848","--","560","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161039","0.0362854","1.0","0.59762","--","580","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"161040","0.0306356","1.0","0.5991","--","600","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF"
"167900","0.178462","1.0","0.59095","--","400","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167901","0.151244","1.0","0.59289","--","420","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167902","0.126894","1.0","0.5933","--","440","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167903","0.10587","1.0","0.59562","--","460","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167904","0.0881534","1.0","0.59652","--","480","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167905","0.0735376","1.0","0.59888","--","500","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167906","0.061384","1.0","0.59826","--","520","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167907","0.0513672","1.0","0.60071","--","540","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167908","0.043124","1.0","0.59952","--","560","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167909","0.0362854","1.0","0.60175","--","580","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167910","0.0306356","1.0","0.60479","--","600","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167911","0.0204161","1.0","0.60258","--","650","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167912","0.0138708","1.0","0.60465","--","700","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167913","0.0096457","1.0","0.60626","--","750","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167914","0.0068404","1.0","0.60633","--","800","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167915","0.0049545","1.0","0.60765","--","850","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167916","0.0036504","1.0","0.60967","--","900","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167917","0.0027418","1.0","0.60993","--","950","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167918","0.0020860","1.0","0.61226","--","1000","1","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(CPS)"
"167920","0.26108","1.0","0.58066","--","300","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(NWA)"
"167921","0.178462","1.0","0.5919","--","400","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(NWA)"
"167922","0.0735376","1.0","0.59867","--","500","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(NWA)"
"167923","0.0306356","1.0","0.60405","--","600","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(NWA)"
"167924","0.0138708","1.0","0.60802","--","700","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(NWA)"
"167925","0.0068404","1.0","0.6097","--","800","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(NWA)"
"167926","0.0036504","1.0","0.61159","--","900","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(NWA)"
"167927","0.0020860","1.0","0.61311","--","1000","2","PowHeg+Pythia8","ggF_H->WW->leplep_2l_EF(NWA)"
"161342","0.0004761","1.0","0.42008","--","90","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","AFII"
"161343","0.0010216","1.0","0.41349","--","95","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","AFII"
"161050","0.0022747","1.0","0.42484","--","100","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"161051","0.0047793","1.0","0.44381","--","105","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"161052","0.0090583","1.0","0.46314","--","110","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"161053","0.0156093","1.0","0.47894","--","115","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"161054","0.0244079","1.0","0.494","--","120","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"167272","0.0331525","1.0","0.5039","--","124","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"161055","0.0356152","1.0","0.5071","--","125","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"167275","0.0380231","1.0","0.50899","--","126","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"161056","0.0480615","1.0","0.51756","--","130","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"161057","0.0608021","1.0","0.52577","--","135","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"161058","0.0730516","1.0","0.53351","--","140","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"161059","0.0839598","1.0","0.54071","--","145","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"161060","0.093521","1.0","0.54625","--","150","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"161061","0.102605","1.0","0.55232","--","155","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"161062","0.112952","1.0","0.55932","--","160","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"161063","0.114987","1.0","0.56439","--","165","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
"161064","0.111114","1.0","0.56499","--","170","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF","Full"
