SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
105921 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,	         MC@NLO ,		 qq->WpWm->eenunu(CT10)
105922 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 MC@NLO ,		 qq->WpWm->emununu(CT10)
105923 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 MC@NLO ,		 qq->WpWm->etaununu(CT10)
105924 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 MC@NLO ,		 qq->WpWm->muenunu(CT10)
105925 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 MC@NLO ,		 qq->WpWm->mumununu(CT10)
105926 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 MC@NLO ,		 qq->WpWm->mutaununu(CT10)
105927 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 MC@NLO ,		 qq->WpWm->tauenunu(CT10)
105928 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 MC@NLO ,		 qq->WpWm->taumununu(CT10)
105929 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 MC@NLO ,		 qq->WpWm->tautaununu(CT10)
106011 ,		 0.018 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 gg2WW ,		 gg->WpWm->eenunu(CT10)
106012 ,		 0.018 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 gg2WW ,		 gg->WpWm->emununu(CT10)
106013 ,		 0.018 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 gg2WW ,		 gg->WpWm->etaununu(CT10)
106014 ,		 0.018 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 gg2WW ,		 gg->WpWm->mumununu(CT10)
106015 ,		 0.018 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 gg2WW ,		 gg->WpWm->muenunu(CT10)
106016 ,		 0.018 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 gg2WW ,		 gg->WpWm->mutaununu(CT10)
106017 ,		 0.018 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 gg2WW ,		 gg->WpWm->tautaununu(CT10)
106018 ,		 0.018 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 gg2WW ,		 gg->WpWm->tauenunu(CT10)
106019 ,		 0.018 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 gg2WW ,		 gg->WpWm->taumununu(CT10)
169471 ,		 0.0236 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 gg2WW3.1.2 ,		 gg->WpWm->eenunu
169472 ,		 0.0208 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 gg2WW3.1.2 ,		 gg->WpWm->emununu
169473 ,		 0.0208 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 gg2WW3.1.2 ,		 gg->WpWm->etaununu
169474 ,		 0.0236 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 gg2WW3.1.2 ,		 gg->WpWm->mumununu
169475 ,		 0.0208 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 gg2WW3.1.2 ,		 gg->WpWm->muenunu
169476 ,		 0.0208 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 gg2WW3.1.2 ,		 gg->WpWm->mutaununu
169477 ,		 0.0236 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 gg2WW3.1.2 ,		 gg->WpWm->tautaununu
169478 ,		 0.0208 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 gg2WW3.1.2 ,		 gg->WpWm->tauenunu
169479 ,		 0.0208 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 gg2WW3.1.2 ,		 gg->WpWm->taumununu
169440 ,		 0.0497 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 gg2WW3.1.2 ,		 gg->H->WpWm->SF
169441 ,		 0.0991 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 gg2WW3.1.2 ,		 gg->H->WpWm->DF
169442 ,		 0.108 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 gg2WW3.1.2 ,		 gg->VV->SF(with_interference)
169443 ,		 0.206 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 gg2WW3.1.2 ,		 gg->VV->GF(with_interference)

126928 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia8 ,		 qq->WpWm->eenunu(CT10)
126929 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia8 ,		 qq->WpWm->muenunu(CT10)
126930 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia8 ,		 qq->WpWm->tauenunu(CT10)
126931 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia8 ,		 qq->WpWm->emnunu(CT10)
126932 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia8 ,		 qq->WpWm->mumununu(CT10)
126933 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia8 ,		 qq->WpWm->taumununu(CT10)
126934 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia8 ,		 qq->WpWm->etaununu(CT10)
126935 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia8 ,		 qq->WpWm->mutaununu(CT10)
126936 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia8 ,		 qq->WpWm->tautaununu(CT10)
169061 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia6 ,		 qq->WpWm->eenunu
169062 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia6 ,		 qq->WpWm->muenunu
169063 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia6 ,		 qq->WpWm->tauenunu
169064 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia6 ,		 qq->WpWm->emnunu
169065 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia6 ,		 qq->WpWm->mumununu
169066 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia6 ,		 qq->WpWm->taumununu
169067 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia6 ,		 qq->WpWm->etaununu
169068 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia6 ,		 qq->WpWm->mutaununu
169069 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia6 ,		 qq->WpWm->tautaununu

181111 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia6 ,		 qq->WpWm->eenunu(P2011C)
181112 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia6 ,		 qq->WpWm->muenunu(P2011C)
181113 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia6 ,		 qq->WpWm->tauenunu(P2011C)
181114 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia6 ,		 qq->WpWm->emnunu(P2011C)
181115 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia6 ,		 qq->WpWm->mumununu(P2011C)
181116 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia6 ,		 qq->WpWm->taumununu(P2011C)
181117 ,		 0.631 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg+Pythia6 ,		 qq->WpWm->etaununu(P2011C)
