SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
161340 ,		 0.00799665 ,		 1.0 ,		 0.37854 ,		 -- ,		 90 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161341 ,		 0.016271 ,		 1.0 ,		 0.37499 ,		 -- ,		 95 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161000 ,		 0.0344645 ,		 1.0 ,		 0.39143 ,		 -- ,		 100 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161001 ,		 0.069007 ,		 1.0 ,		 0.41586 ,		 -- ,		 105 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161002 ,		 0.125384 ,		 1.0 ,		 0.43865 ,		 -- ,		 110 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161003 ,		 0.207281 ,		 1.0 ,		 0.45934 ,		 -- ,		 115 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161004 ,		 0.312758 ,		 1.0 ,		 0.47659 ,		 -- ,		 120 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161005 ,		 0.440563 ,		 1.0 ,		 0.49105 ,		 -- ,		 125 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161006 ,		 0.574766 ,		 1.0 ,		 0.50312 ,		 -- ,		 130 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161007 ,		 0.705019 ,		 1.0 ,		 0.51327 ,		 -- ,		 135 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161008 ,		 0.822028 ,		 1.0 ,		 0.52203 ,		 -- ,		 140 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161009 ,		 0.91896 ,		 1.0 ,		 0.52893 ,		 -- ,		 145 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161010 ,		 0.997314 ,		 1.0 ,		 0.53674 ,		 -- ,		 150 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161011 ,		 1.06606 ,		 1.0 ,		 0.54168 ,		 -- ,		 155 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161012 ,		 1.13905 ,		 1.0 ,		 0.54911 ,		 -- ,		 160 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161013 ,		 1.09746 ,		 1.0 ,		 0.55383 ,		 -- ,		 165 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161014 ,		 1.02411 ,		 1.0 ,		 0.55652 ,		 -- ,		 170 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161015 ,		 0.952973 ,		 1.0 ,		 0.55815 ,		 -- ,		 175 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161016 ,		 0.868211 ,		 1.0 ,		 0.55733 ,		 -- ,		 180 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161017 ,		 0.737681 ,		 1.0 ,		 0.5597 ,		 -- ,		 185 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161018 ,		 0.649198 ,		 1.0 ,		 0.56359 ,		 -- ,		 190 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161019 ,		 0.590677 ,		 1.0 ,		 0.56222 ,		 -- ,		 195 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161020 ,		 0.554389 ,		 1.0 ,		 0.56381 ,		 -- ,		 200 ,		 1 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161021 ,		 0.452565 ,		 1.0 ,		 0.56742 ,		 -- ,		 220 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161022 ,		 0.38304 ,		 1.0 ,		 0.57242 ,		 -- ,		 240 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161023 ,		 0.328661 ,		 1.0 ,		 0.57625 ,		 -- ,		 260 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161024 ,		 0.289207 ,		 1.0 ,		 0.57878 ,		 -- ,		 280 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161025 ,		 0.261952 ,		 1.0 ,		 0.5807 ,		 -- ,		 300 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161026 ,		 0.245338 ,		 1.0 ,		 0.58419 ,		 -- ,		 320 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161027 ,		 0.242823 ,		 1.0 ,		 0.58445 ,		 -- ,		 340 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161028 ,		 0.23167 ,		 1.0 ,		 0.58682 ,		 -- ,		 360 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161029 ,		 0.206815 ,		 1.0 ,		 0.58894 ,		 -- ,		 380 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161030 ,		 0.178645 ,		 1.0 ,		 0.59013 ,		 -- ,		 400 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161031 ,		 0.151363 ,		 1.0 ,		 0.59188 ,		 -- ,		 420 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161032 ,		 0.12701 ,		 1.0 ,		 0.59381 ,		 -- ,		 440 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161033 ,		 0.10587 ,		 1.0 ,		 0.59336 ,		 -- ,		 460 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161034 ,		 0.0881534 ,		 1.0 ,		 0.59452 ,		 -- ,		 480 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161035 ,		 0.0735376 ,		 1.0 ,		 0.59564 ,		 -- ,		 500 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161036 ,		 0.061384 ,		 1.0 ,		 0.59763 ,		 -- ,		 520 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161037 ,		 0.0513615 ,		 1.0 ,		 0.59841 ,		 -- ,		 540 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
