SampleID,category,xsectioninpb,kfactor,efficiency,xsecunc,generator
301000, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_120M180, 17.478000, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301001, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_180M250, 2.921200, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301002, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_250M400, 1.082000, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301003, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_400M600, 0.195500, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301004, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_600M800, 0.037401, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301005, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_800M1000, 0.010607, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301006, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1000M1250, 0.004258, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301007, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1250M1500, 0.001422, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301008, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1500M1750, 0.000545, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301009, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1750M2000, 0.000230, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301010, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_2000M2250, 0.000104, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301011, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_2250M2500, 0.000049, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301012, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_2500M2750, 0.000024, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301013, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_2750M3000, 0.000012, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301014, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_3000M3500, 0.000010, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301015, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_3500M4000, 0.000003, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301016, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_4000M4500, 0.000001, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301017, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_4500M5000, 0.000000, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301018, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_5000M, 0.000000, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301020, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_120M180, 17.478000, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301021, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_180M250, 2.921200, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301022, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_250M400, 1.082000, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
