SampleID,category,xsectioninpb,kfactor,efficiency,generator
206536, ggH200,  1.0, 1.0, 0.4564,ggH200_w1_tautaulh
110401, top, 831.760, 1.00000, 0.543160,ttbar_nonallhad 
147400, Wpowheg, 11302.0, 1.02540, 1.000000,Wplusenu
147401, Wpowheg, 11302.0, 1.02540, 1.000000,Wplusmunu
147402, Wpowheg, 11302.0, 1.02540, 1.000000,Wplustaunu
147403, Wpowheg, 8280.00, 1.02540, 1.000000,Wminenu
147404, Wpowheg, 8280.00, 1.02540, 1.000000,Wminmunu
147405, Wpowheg, 8280.00, 1.02540, 1.000000,Wmintaunu
147406, Zllpowheg, 1900.20, 1.00210, 1.000000,Zee                                                                 
147407, Zllpowheg, 1900.20, 1.00210, 1.000000,Zmumu
147408, Ztautaupowheg,   1900.20, 1.00210, 1.000000,Ztautau
