SampleID, xsectioninpb
301528, 3.92624246
301529, 1.6173091
301530, 0.718018025
301531, 0.431858588
301532, 0.25723035
301539, 0.0872965108
302910, 0.0374946989
302911, 0.0010698018
302912, 3.89750395e-05
302913, 3.72901671e-07
302914, 1.4300795e-08
302915, 3.38349212e-10
302916, 1.38055599e-11
302917, 0.0802954886
302918, 0.0310519478
302919, 0.000975230998
302920, 4.43733373e-05
302921, 4.4180541e-07
302922, 1.41250988e-08
302923, 3.18197802e-10
302924, 1.33797314e-11
303480, 13.632
303481, 3.8249
303482, 0.10587
303483, 0.0062504
303484, 5.2566e-05
303485, 1.1692e-06
303486, 7.2428e-08
303487, 3.398e-09
303722, 2.75589675
303723, 1.13772578
303724, 0.503701246
303725, 0.305113255
303726, 0.180423634
343362, 0.130689333
343637, 696.23
343852, 0.0098150906
343853, 0.0411462832
343854, 0.101887379
344171, 73.3547928
407009, 19.0682842
407010, 2.66572883
407011, 0.470232424
407012, 7.66980367
407029, 21.5368846
407030, 3.2958237
407031, 0.623582856
407032, 7.85070725
407033, 17.9481881
407034, 2.26602321
407035, 0.366422524
407036, 7.58680737
407037, 17.484557
407038, 2.42842455
407039, 0.425379653
407040, 6.4635622
407041, 21.2132455
407042, 3.15225018
407043, 0.586955631
407044, 7.68816267
407200, 403.518506
407201, 28.1668517
407202, 9.31482357
407203, 7.64026601
407204, 3.0255973
410060, 378.723402
410161, 357.446717
410162, 278.768499
410163, 317.663345
410221, 95.4027424
410222, 199.13814
410223, 95.1569556
410224, 199.354857
410232, 378.71996
410234, 248.87
410244, 0.31961
410245, 0.32212
410700, 0.077143
410701, 0.076878
410702, 0.16095
410703, 0.16015
410780, 0.027771
410781, 0.027771
410792, 0.027771
410793, 0.027771
426090, 696.39
426091, 696.07
426092, 696.37
426093, 696.21
426094, 696.84
426095, 697
426096, 696.7
426097, 696.45
429007, 245.446845
410000, 451.591516
410001, 451.64568
410002, 451.64568
410003, 451.64568
410004, 451.64568
410006, 451.64568
410007, 380.090579
410008, 380.11432
410009, 87.6284906
410021, 92.1141
410022, 184.0995
410023, 184.3218
410024, 369.7083
410037, 405.278184
410038, 388.932362
410039, 368.33224
410040, 353.784235
410041, 330.875756
410042, 340.099211
410043, 326.406538
410044, 309.084759
410045, 296.793325
410046, 277.641813
410120, 28.7988582
410121, 5.37042479
410159, 452.419217
410160, 379.191066
410186, 379.190196
410187, 182.526696
410188, 182.388888
410189, 87.6608172
410500, 451.64568
407018, 3.17102848
407019, 0.404449798
407020, 3.16751675
407021, 0.403385204
407049, 2.05973884
407050, 3.2505582
407051, 3.07856271
407052, 0.242737223
407053, 0.425176985
407054, 0.384408076
407055, 2.05047068
407056, 3.2448761
407057, 3.07491305
407058, 0.2403357
407059, 0.422412664
407060, 0.382803617
