SampleID,       process,                        xsectioninpb,           kfactor,        filtefficiency, xsecunc,        generator

410000,         PoPy_P2012_ttb_nonallh,         696.11,                 1.1949,         0.543,          1.,             PowhegPythiaEvtGen
410011,         PoPy_P2012_st_tchan_lept_top,   43.739,                 1.0094,         1.0,            1.,             PowhegPythiaEvtGen
410012,         PoPy_P2012_st_tchan_lept_atop,  25.778,                 1.0193,         1.0,            1.,             PowhegPythiaEvtGen
410013,         PoPy_P2012_Wt_incl_top,         34.009,                 1.0540,         1.0,            1.,             PowhegPythiaEvtGen
410014,         PoPy_P2012_Wt_incl_atop,        33.989,                 1.0540,         1.0,            1.,             PowhegPythiaEvtGen
410015,         PoPy_P2012_Wt_dilepton_top,     3.5835,                 1.0540,         1.0,            1.,             PowhegPythiaEvtGen
410016,         PoPy_P2012_Wt_dilepton_atop,    3.5813,                 1.0540,         1.0,            1.,             PowhegPythiaEvtGen
410025,         PoPy_P12_STSchan_noAllHad_top,  2.0514,                 1.0048,         1.0,            1.,             PowhegPythiaEvtGen
410026,         PoPy_P12_STSchan_noAllHad_atop, 1.2615,                 1.0215,         1.0,            1.,             PowhegPythiaEvtGen

410644,         PoPy8_A14_st_schan_lept_top,    2.027,                  1.0170,         1.0,            1.,             PowhegPythia8
410645,         PoPy8_A14_st_schan_lept_atop,   1.2674,                 1.0167,         1.0,            1.,             PowhegPythia8
410646,         PoPy8_A14_Wt_DR_inclusive_top,  37.936,                 0.9450,         1.0,            1.,             PowhegPythia8
410647,         PoPy8_A14_Wt_DR_inclusive_atop, 37.905,                 0.9457,         1.0,            1.,             PowhegPythia8
410658,         PhPy8_A14_tchan_BW50_lept_top,  36.996,                 1.1935,         1.0,            1.,             PowhegPythia8
410659,         PhPy8_A14_tchan_BW50_lept_atop, 22.175,                 1.1849,         1.0,            1.,             PowhegPythia8

410470,         PhPy8EG_A14_ttb_nonallh,        729.77,                 1.1398,         0.5438,         1.,             PowhegPythia8
410471,         PhPy8EG_A14_ttb_allh,           729.77,                 1.1397,         0.4562,         1.,             PowhegPythia8
410472,         PhPy8EG_A14_ttb_allh,           729.77,                 1.1398,         0.1055,         1.,             PowhegPythia8

361106,         Zee,                            1901.10,                1.0,            1.0,            1.,             PowhegPythiaEvtGen
361107,         Zmumu,                          1901.10,                1.0,            1.0,            1.,             PowhegPythiaEvtGen
361108,         Ztautau,                        1901.10,                1.0,            1.0,            1.,             PowhegPythiaEvtGen


####################
##
##  SIGNAL
##
####################
342300,         ggH125W02_ttlh,                 1.0,    1.0,    0.45599,        1.,              PowhegPythiaEvtGen
#30.217 -> this is AMI xsec

342310,         ggH300W2_ttlh,                  1.0,    1.0,    0.45501,        1.,             PowhegPythiaEvtGen
#6.6586

342320,         ggH700W20_ttlh,                 1.0,    1.0,    0.45387,        1.,             PowhegPythiaEvtGen
#0.64931

342326,     ggH1000W30_ttlh,        1.0,    1.0,    0.45636,    1.,     PoPy8
#0.093729

342332,     ggH1300W50_ttlh,        1.0,    1.0,    0.45206,    1.,     PowhegPythiaEvtGen
#0.016856

342334,     ggH1400W50_ttlh,        1.0,    1.0,    0.45906,    1.,     PowhegPythiaEvtGen
#0.010001

342336,     ggH1500W60_ttlh,        1.0,    1.0,    0.45371,    1.,     PowhegPythiaEvtGen
#0.0061076

345295,     ggH1750W70_ttlh,        1.0,    1.0,    0.45514,    1.,     PowhegPythiaEvtGen
#0.0018686

345297,     ggH2000W80_ttlh,        1.0,    1.0,    0.45723,    1.,     PowhegPythiaEvtGen
#0.00077934

345299,     ggH2250W90_ttlh,        1.0,    1.0,    0.45798 ,   1.,     PowhegPythiaEvtGen
#0.00031156

345301,     ggH2500W100_ttlh,       1.0,    1.0,    0.45284 ,   1.,     PowhegPythiaEvtGen
#0.00013222





341856,     bbH125_yb2_ttlh,    1.0,    1.0,    0.45293,    1.,     aMCNloPy8
#0.42571

341857,     bbH150_yb2_ttlh,    1.0,    1.0,    0.45223,    1.,     aMCNloPy8
#0.23293

### why this new 150GeV sample??? and why AMI xsec negative???
#345302,    bbH150_ybyt_ttlh,   1.0,    1.0,    0.45607,    1.,     aMCNloPy8
# -0.016315

341858,     bbH200_yb2_ttlh,    1.0,    1.0,    0.45212,    1.,     aMCNloPy8
#0.084724

### why this new 200GeV sample??? and why AMI xsec negative???
#341925     bbH200_ybyt_ttlh,   1.0,    1.0,    0.45366,    1.,
# -0.0041985

341859,     bbH250_yb2_ttlh,    1.0,    1.0,    0.45552,    1.,     aMCNloPy8
#0.036296

341860,     bbH300_yb2_ttlh,    1.0,    1.0,    0.45505,    1.,     aMCNloPy8
#0.01776

341863,     bbH500_yb2_ttlh,    1.0,    1.0,    0.45591,    1.,     aMCNloPy8
#0.0019704

341864,     bbH600_yb2_ttlh,    1.0,    1.0,    0.45352,    1.,     aMCNloPy8
#0.00082831

341868,    bbH1000_yb2_ttlh,    1.0,    1.0,    0.45352,    1.,     aMCNloPy8
#

341873,     bbH1500_yb2_ttlh,   1.0,    1.0,    0.45317,    1.,     aMCNloPy8
#5.1018e-06

345287,     bbH1750_yb2_ttlh,   1.0,    1.0,    0.44848,    1.,     aMCNloPy8
#1.8495e-06

345289,     bbH2000_yb2_ttlh,   1.0,    1.0,    0.45725,    1.,     aMCNloPy8
# 7.1731e-07

345291,     bbH2250_yb2_ttlh,   1.0,    1.0 0.45671,    1.,     aMCNloPy8
# 2.9334e-07

